ano,mes,categ_alvara,status_binario,categ_emp
2017,8,1,2,5
2017,8,1,2,5
2017,8,5,2,5
2017,8,1,2,5
2017,8,5,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,3,2,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,3,2,5
2017,12,1,2,2
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,1,4
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,3,1,5
2017,8,5,1,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,3,2,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,3,2,5
2017,8,3,1,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,5,2,5
2017,8,3,2,5
2017,8,3,1,5
2017,8,3,2,5
2017,8,3,1,5
2017,8,3,2,5
2017,8,3,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,3,2,5
2017,8,3,2,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,12,3,1,5
2017,12,1,1,5
2017,12,3,1,3
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,2
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,2,2
2017,12,3,2,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,5,1,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,1,5
2017,12,6,2,4
2017,12,3,2,3
2017,12,3,2,5
2017,12,3,1,5
2017,12,3,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,3,1,3
2017,12,3,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,6,2,5
2017,12,6,2,5
2017,12,6,2,3
2017,12,3,2,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,6,2,4
2017,12,6,2,3
2017,12,1,2,5
2017,12,6,2,5
2017,12,6,2,5
2017,12,6,2,5
2017,12,6,2,5
2017,12,6,2,1
2017,12,6,2,3
2017,12,6,2,3
2017,12,6,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,4,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,1,3
2017,12,3,1,5
2017,12,3,1,5
2017,12,3,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,2
2017,12,1,2,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,1,3
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,1,4
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,3,1,3
2017,8,3,2,5
2017,8,3,2,5
2017,8,3,2,5
2017,8,3,1,5
2017,8,3,2,5
2017,8,1,1,5
2017,8,3,2,5
2017,8,3,1,5
2017,8,1,2,5
2017,8,3,2,4
2017,8,3,1,2
2017,8,3,1,3
2017,8,3,2,5
2017,8,3,1,3
2017,8,3,1,3
2017,8,3,1,5
2017,8,3,1,5
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,12,1,2,3
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,8,1,1,2
2017,8,1,1,2
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,4
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,2
2017,8,1,1,3
2017,8,1,1,2
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,2
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,4
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,4
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,2
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,2
2017,8,1,2,2
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,2,2
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,3,1,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,1,3
2017,12,1,1,3
2017,12,1,1,3
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,2
2017,12,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,2
2017,8,3,1,3
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,2,2
2017,8,1,1,3
2017,8,1,2,3
2017,8,1,1,2
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,1
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,2
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,2
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,2,5
2017,8,1,1,5
2017,8,3,1,5
2017,8,3,1,5
2017,8,3,1,3
2017,8,1,1,5
2017,8,3,1,5
2017,8,3,1,3
2017,8,3,1,2
2017,8,3,1,5
2017,8,3,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,4
2017,8,1,1,3
2017,8,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,1
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,3,2,5
2017,12,1,2,5
2017,12,1,2,2
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,3,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,1
2017,8,1,1,1
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,2
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,1,4
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,1,4
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,2,3
2017,8,1,2,4
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,1,3
2017,8,3,2,5
2017,8,1,2,5
2017,8,3,2,5
2017,8,1,2,3
2017,8,3,2,3
2017,8,1,2,5
2017,8,3,2,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,2
2017,8,1,1,3
2017,8,1,1,2
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,4
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,3,1,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,5,2,5
2017,8,6,2,5
2017,8,3,1,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,1,3
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,1,3
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,3,1,5
2017,8,1,2,2
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,1
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,1,1,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,3,2,5
2017,8,1,2,5
2017,8,1,2,2
2017,8,1,1,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,2
2017,8,1,2,5
2017,8,1,2,5
2017,8,1,2,1
2017,8,1,2,5
2017,8,1,2,4
2017,8,1,2,5
2017,8,1,2,5
2017,12,1,2,3
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,1,3
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,2
2017,12,1,2,3
2017,12,1,2,2
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,3,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,2
2017,12,1,2,2
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,2,3
2017,12,1,2,2
2017,12,1,2,2
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,3
2017,12,1,2,4
2017,12,1,2,2
2017,12,1,1,3
2017,12,1,2,5
2017,12,1,2,3
2017,12,3,2,2
2017,12,1,2,5
2017,12,1,2,3
2017,12,3,2,3
2017,12,6,2,3
2017,12,6,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,5,1,5
2017,12,3,2,5
2017,12,6,2,5
2017,12,1,1,5
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,1,2,3
2017,12,1,2,5
2017,12,6,2,3
2017,12,6,2,2
2017,12,6,2,5
2017,12,6,2,3
2017,12,3,2,5
2017,12,6,2,3
2017,12,6,2,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,1,1,5
2017,12,6,2,5
2017,12,1,2,5
2017,12,1,2,5
2017,12,1,1,3
2017,12,1,1,5
2017,12,2,1,3
2017,12,2,1,5
2017,12,2,1,4
2017,12,2,1,5
2017,12,1,2,5
2017,12,1,1,5
2017,12,1,1,3
2017,12,1,1,3
2017,12,5,1,5
2017,12,1,1,5
2017,12,5,1,3
2017,12,1,1,5
2017,12,1,2,5
2017,8,1,2,5
2017,8,1,2,3
2017,8,1,2,2
2017,8,1,2,5
2017,8,3,2,2
2017,8,1,2,2
2017,8,1,2,2
2017,8,1,2,2
2017,8,3,2,5
2017,8,1,1,5
2017,8,1,1,5
2017,8,3,1,3
2017,8,3,2,5
2017,8,3,2,5
